Rk,,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank
215,Mark Bradley\BradMa00,KAN,WR,27,13,6,1,1,26,0,0,2,20,10.00,0,57,24,320,13.33,2,,,47,71,74.0,59.0,,87,
216,Daunte Culpepper\CulpDa00,DET,QB,32,8,5,89,157,945,3,6,18,91,5.06,0,0,0,0,,0,,,47,43,53.9,48.9,,37,
217,Brandon Pettigrew\PettBr00,DET,RB,24,11,11,0,0,0,0,0,0,0,,0,54,30,346,11.53,2,,,47,76,79.1,60.6,,69,
218,Anthony Fasano\FasaAn00,MIA,TE,25,14,14,0,0,0,0,0,0,0,,0,53,31,339,10.94,2,,,46,75,78.9,59.4,,25,
219,Kevin Kolb\KolbKe00,PHI,QB,25,5,2,62,96,741,4,3,5,-1,-0.20,1,0,0,0,,0,,,46,44,50.5,46.5,,39,
220,JaMarcus Russell\RussJa00,OAK,QB,24,12,9,120,246,1287,3,11,18,44,2.44,0,0,0,0,,0,,,46,37,55.4,47.9,,38,
221,Leon Washington\WashLe00,NYJ,RB,27,7,0,0,0,0,0,0,72,331,4.60,0,26,15,131,8.73,0,,,46,60,66.7,52.7,,70,
222,Sam Aiken\AikeSa00,NWE,WR,29,14,7,0,0,0,0,0,0,0,,0,41,20,326,16.30,2,,,45,65,67.6,54.6,,88,
223,Chris Cooley\CoolCh00,WAS,TE,27,7,7,0,0,0,0,0,0,0,,0,45,29,332,11.45,2,,,45,73,76.7,58.7,,27,
224,Daniel Fells\FellDa00,STL,TE,26,14,4,0,0,0,0,0,0,0,,0,35,21,273,13.00,3,,,45,65,68.8,54.8,,26,
225,Seneca Wallace\WallSe00,SEA,QB,29,13,2,78,120,700,3,2,16,2,0.13,1,3,2,29,14.50,0,,,45,42,49.6,43.1,,40,
226,Kyle Boller\BollKy00,STL,QB,28,7,4,98,176,899,3,6,13,76,5.85,0,0,0,0,,0,,,44,42,51.6,47.6,,41,
227,Le'Ron McClain*\McClLe00,BAL,RB,25,16,14,0,0,0,0,0,46,180,3.91,2,27,21,141,6.71,0,,,44,65,71.1,54.6,,71,
228,Jordy Nelson\NelsJo00,GNB,WR,24,13,0,0,0,0,0,0,0,0,,0,31,22,320,14.55,2,,,44,63,67.5,52.0,,90,
229,Chansi Stuckey\StucCh20,2TM,WR,26,15,3,0,0,0,0,0,2,6,3.00,0,66,30,318,10.60,2,,,44,74,77.4,59.4,,89,
230,Lex Hilliard\HillLe00,MIA,RB,25,16,0,0,0,0,0,0,23,89,3.87,1,20,20,158,7.90,2,,,43,63,65.7,52.7,,73,
231,Mewelde Moore\MoorMe00,PIT,RB,27,16,0,1,1,6,1,0,35,118,3.37,0,31,21,153,7.29,2,,,43,64,70.3,53.8,,72,
232,Dante Rosario\RosaDa00,CAR,TE,25,14,8,0,0,0,0,0,0,0,,0,48,26,313,12.04,2,,,43,69,72.3,56.3,,28,
233,Maurice Stovall\StovMa00,TAM,WR,24,15,7,0,0,0,0,0,0,0,,0,47,24,366,15.25,1,,,43,67,69.6,54.6,,91,
234,Julian Edelman\EdelJu00,NWE,WR,23,11,7,0,0,0,0,0,2,5,2.50,0,54,37,359,9.70,1,,,42,78,81.9,59.9,,92,
235,Josh Johnson\JohnJo05,TAM,QB,23,6,4,63,125,685,4,8,22,148,6.73,0,0,0,0,,0,,,42,35,52.7,43.2,,42,
